quarter,DelNegro2017,GoyIwasaki2024,HLW2023,Imakubo2015,Nakajima2023,OkazakiSudo2018
1992Q1,0.6585,,1.6193,,,3.7501
1992Q2,0.6014,,1.4788,,,3.4411
1992Q3,0.4705,,1.3493,,,2.9885
1992Q4,0.4002,,1.2431,,,2.8488
1993Q1,0.3386,1.1361,1.1053,,,2.6143
1993Q2,0.3244,1.0673,1.0271,,,2.3078
1993Q3,0.2494,0.9737,0.9858,,,2.1821
1993Q4,0.1562,0.8854,0.9578,,,1.8465
1994Q1,0.2061,0.842,0.9228,,,1.6932
1994Q2,0.2597,0.7908,0.9288,,,1.3812
1994Q3,0.3414,0.7527,0.918,,,1.1942
1994Q4,0.3511,0.6773,0.9382,,,1.2844
1995Q1,0.2396,0.5465,0.9363,1.1769,0.6414,1.0964
1995Q2,0.0456,0.3917,0.9178,1.1628,0.6466,0.8603
1995Q3,-0.056,0.2731,0.8752,1.1658,1.1319,0.7192
1995Q4,-0.1131,0.2107,0.8363,1.1797,1.2397,0.6104
1996Q1,-0.1012,0.1526,0.7767,1.1963,0.9675,0.6031
1996Q2,-0.1021,0.1024,0.6928,1.2225,1.0307,0.5647
1996Q3,-0.1102,0.063,0.6094,1.1937,1.2508,0.5972
1996Q4,-0.1246,0.0447,0.4909,1.1608,1.283,0.5611
1997Q1,-0.1012,0.0293,0.3587,1.1879,1.3983,0.4683
1997Q2,-0.0518,0.0148,0.2619,1.1502,1.2489,0.6524
1997Q3,-0.0621,-0.0152,0.1637,1.094,1.0261,0.4402
1997Q4,-0.0674,-0.0414,0.0772,1.0338,0.8362,0.5481
1998Q1,-0.0435,-0.0571,0.0595,0.9673,0.8582,0.5893
1998Q2,-0.0532,-0.0728,0.0658,0.9021,0.7069,0.6552
1998Q3,-0.0703,-0.0942,0.0692,0.8439,0.4862,0.5175
1998Q4,-0.0532,-0.0761,0.0613,0.7998,0.5462,0.3256
1999Q1,-0.0051,-0.0828,0.1147,0.6946,1.2442,0.3546
1999Q2,-0.0097,-0.0826,0.1575,0.6268,0.7435,0.2972
1999Q3,0.0078,-0.1007,0.1937,0.5787,0.5295,0.3344
1999Q4,0.019,-0.1139,0.2401,0.5878,0.4704,0.3617
2000Q1,0.0455,-0.1211,0.229,0.5559,0.3857,0.3633
2000Q2,0.0671,-0.1073,0.21,0.6028,0.5289,0.2763
2000Q3,0.1071,-0.0716,0.1962,0.6247,0.8106,0.364
2000Q4,0.127,-0.0439,0.1528,0.6021,0.7559,0.5432
2001Q1,0.1017,-0.0319,0.0957,0.6422,0.6435,0.4915
2001Q2,0.077,0.0014,0.0784,0.6453,0.7261,0.5502
2001Q3,0.0834,0.0471,0.1165,0.636,0.7352,0.556
2001Q4,0.0941,0.0802,0.1746,0.61,0.7029,0.4982
2002Q1,0.0993,0.0862,0.2268,0.5589,0.7183,0.3362
2002Q2,0.0727,0.0881,0.2603,0.4998,0.5883,0.2574
2002Q3,0.0373,0.0842,0.289,0.4608,0.4289,0.1438
2002Q4,0.0057,0.076,0.3167,0.4328,0.3043,0.2203
2003Q1,-0.0061,0.0729,0.3572,0.4317,0.5277,0.2988
2003Q2,-0.0046,0.0712,0.3777,0.4333,0.6296,0.3075
2003Q3,0.0295,0.0596,0.3969,0.4411,0.7717,0.297
2003Q4,0.0041,0.0274,0.3874,0.4321,0.6153,0.2593
2004Q1,-0.0532,-0.0322,0.3582,0.4394,0.6115,0.3593
2004Q2,-0.0908,-0.0982,0.3432,0.4365,0.7567,0.3473
2004Q3,-0.1426,-0.1697,0.324,0.4217,0.7583,0.3549
2004Q4,-0.2088,-0.2267,0.336,0.4065,0.6238,0.2418
2005Q1,-0.2609,-0.278,0.3366,0.4143,0.693,0.2448
2005Q2,-0.2972,-0.3174,0.309,0.4114,0.6436,0.275
2005Q3,-0.2828,-0.3346,0.2595,0.4204,0.6591,0.4258
2005Q4,-0.2474,-0.3368,0.2119,0.4486,0.7207,0.4698
2006Q1,-0.1919,-0.331,0.1712,0.4179,0.7965,0.5773
2006Q2,-0.1414,-0.3131,0.13,0.4032,0.8933,0.5375
2006Q3,-0.137,-0.282,0.0945,0.3776,0.6944,0.3952
2006Q4,-0.1248,-0.2394,0.011,0.333,0.6461,0.2836
2007Q1,-0.1037,-0.2018,-0.0983,0.3148,0.8393,0.2732
2007Q2,-0.081,-0.1724,-0.2152,0.2898,0.8258,0.3306
2007Q3,-0.1023,-0.1497,-0.308,0.2398,0.5426,0.2932
2007Q4,-0.1611,-0.1387,-0.4284,0.1859,0.4616,0.2123
2008Q1,-0.2152,-0.1509,-0.5639,0.115,0.4195,0.0404
2008Q2,-0.2047,-0.1736,-0.6809,0.0476,0.3914,0.1301
